ID:0, Name:Dwarf remains, Stackable:false, Equipment:false, Destroy:true, SpecBar:false
ID:1, Name:Toolkit, Stackable:false, Equipment:false, Destroy:true, SpecBar:false
ID:2, Name:Cannonball, Stackable:true, Equipment:false, Destroy:false, SpecBar:false
ID:3, Name:Nulodion's notes, Stackable:false, Equipment:false, Destroy:true, SpecBar:false
ID:4, Name:Ammo mould, Stackable:false, Equipment:false, Destroy:false, SpecBar:false
ID:5, Name:Instruction manual, Stackable:false, Equipment:false, Destroy:false, SpecBar:false
ID:6, Name:Cannon base, Stackable:false, Equipment:false, Destroy:false, SpecBar:false
ID:7, Name:Cannon base, Stackable:true, Equipment:false, Destroy:false, SpecBar:false
ID:8, Name:Cannon stand, Stackable:false, Equipment:false, Destroy:false, SpecBar:false
ID:9, Name:Cannon stand, Stackable:true, Equipment:false, Destroy:false, SpecBar:false
ID:10, Name:Cannon barrels, Stackable:false, Equipment:false, Destroy:false, SpecBar:false
ID:11, Name:Cannon barrels, Stackable:true, Equipment:false, Destroy:false, SpecBar:false
ID:12, Name:Cannon furnace, Stackable:false, Equipment:false, Destroy:false, SpecBar:false
ID:13, Name:Cannon furnace, Stackable:true, Equipment:false, Destroy:false, SpecBar:false
ID:14, Name:Railing, Stackable:true, Equipment:false, Destroy:false, SpecBar:false
ID:15, Name:Holy table napkin, Stackable:false, Equipment:false, Destroy:false, SpecBar:false
ID:16, Name:Magic whistle, Stackable:false, Equipment:false, Destroy:false, SpecBar:false
ID:17, Name:Grail bell, Stackable:false, Equipment:false, Destroy:false, SpecBar:false
ID:18, Name:Magic gold feather, Stackable:false, Equipment:false, Destroy:false, SpecBar:false
ID:19, Name:Holy grail, Stackable:false, Equipment:false, Destroy:true, SpecBar:false
ID:20, Name:White cog, Stackable:false, Equipment:false, Destroy:false, SpecBar:false
ID:21, Name:Black cog, Stackable:false, Equipment:false, Destroy:false, SpecBar:false
ID:22, Name:Blue cog, Stackable:false, Equipment:false, Destroy:false, SpecBar:false
ID:23, Name:Red cog, Stackable:false, Equipment:false, Destroy:false, SpecBar:false
ID:24, Name:Rat poison, Stackable:false, Equipment:false, Destroy:false, SpecBar:false
ID:25, Name:Red vine worm, Stackable:true, Equipment:false, Destroy:false, SpecBar:false
ID:26, Name:Fishing trophy, Stackable:false, Equipment:false, Destroy:false, SpecBar:false
ID:27, Name:Fishing pass, Stackable:false, Equipment:false, Destroy:false, SpecBar:false
ID:28, Name:Insect repellent, Stackable:false, Equipment:false, Destroy:false, SpecBar:false
ID:29, Name:Tinderbox, Stackable:false, Equipment:false, Destroy:false, SpecBar:false
ID:30, Name:Bucket of wax, Stackable:false, Equipment:false, Destroy:false, SpecBar:false
ID:31, Name:Tinderbox, Stackable:false, Equipment:false, Destroy:false, SpecBar:false
ID:32, Name:Lit black candle, Stackable:false, Equipment:false, Destroy:false, SpecBar:false
ID:33, Name:Lit candle, Stackable:false, Equipment:false, Destroy:false, SpecBar:false
ID:34, Name:Lit candle, Stackable:true, Equipment:false, Destroy:false, SpecBar:false
ID:35, Name:Excalibur, Stackable:false, Equipment:true, Destroy:false, SpecBar:false
ID:36, Name:Candle, Stackable:false, Equipment:false, Destroy:false, SpecBar:false
ID:37, Name:Candle, Stackable:true, Equipment:false, Destroy:false, SpecBar:false
ID:38, Name:Black candle, Stackable:false, Equipment:false, Destroy:false, SpecBar:false
ID:39, Name:Bronze arrowheads, Stackable:true, Equipment:false, Destroy:false, SpecBar:false
ID:40, Name:Iron arrowheads, Stackable:true, Equipment:false, Destroy:false, SpecBar:false
ID:41, Name:Steel arrowheads, Stackable:true, Equipment:false, Destroy:false, SpecBar:false
ID:42, Name:Mithril arrowheads, Stackable:true, Equipment:false, Destroy:false, SpecBar:false
ID:43, Name:Adamant arrowheads, Stackable:true, Equipment:false, Destroy:false, SpecBar:false
ID:44, Name:Rune arrowheads, Stackable:true, Equipment:false, Destroy:false, SpecBar:false
ID:45, Name:Opal bolt tips, Stackable:true, Equipment:false, Destroy:false, SpecBar:false
